Time,Time (microseconds),Computer,Reason,Tag(s),Action,Rank,Direction,Interface,Frame Type,Protocol,Flags,Source IP,Source MAC,Source Port,Destination IP,Destination MAC,Destination Port,Packet Size,Repeat Count,End Time,Flow,Status,Note,Data Flags,Data Index,Data,Event Origin
"April 9, 2018 15:16:22",1523283382547276,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,FA:16:3E:68:2D:73,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,55322,129.12.44.154,FA:16:3E:68:2D:73,5672,74,1,,Connection Flow,123,,8,27938,FA163E682D73F866F243824608004500003CC8EC40003D0630DA810C1543810C2C9AD81A16288118637400000000A0023908116D0000020405B40402080A3B2DAB980000000001030307,Agent
"April 9, 2018 15:16:14",1523283374403302,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,55414,129.12.44.154,FA:16:3E:68:2D:73,8045,0,3,"April 9, 2018 15:16:20",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:16:13",1523283373403305,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,FA:16:3E:68:2D:73,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,55414,129.12.44.154,FA:16:3E:68:2D:73,8045,74,1,,Connection Flow,123,,8,27937,FA163E682D73F866F243824608004500003C82F640003D0676D0810C1543810C2C9AD8761F6DE93E052900000000A002390821AA0000020405B40402080A3B2D87DF0000000001030307,Agent
"April 9, 2018 15:15:54",1523283354711367,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,30811,129.12.44.154,FA:16:3E:68:2D:73,19638,0,1,,Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:54",1523283354615367,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,9921,129.12.44.154,FA:16:3E:68:2D:73,54320,0,2,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:54",1523283354363397,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,40741,129.12.44.154,FA:16:3E:68:2D:73,5485,0,1,,Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:53",1523283353435370,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,13880,129.12.44.154,FA:16:3E:68:2D:73,2680,0,2,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:53",1523283353419370,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,43941,129.12.44.154,FA:16:3E:68:2D:73,860,0,2,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352451375,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,4031,129.12.44.154,FA:16:3E:68:2D:73,7070,0,6,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352359375,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,42787,129.12.44.154,FA:16:3E:68:2D:73,22555,0,1,,Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352351373,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,29973,129.12.44.154,FA:16:3E:68:2D:73,3475,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352351374,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,22366,129.12.44.154,FA:16:3E:68:2D:73,3588,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352351375,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,11948,129.12.44.154,FA:16:3E:68:2D:73,3701,0,6,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343404,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,4150,129.12.44.154,FA:16:3E:68:2D:73,3249,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343405,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,3384,129.12.44.154,FA:16:3E:68:2D:73,3362,0,4,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343403,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,32473,129.12.44.154,FA:16:3E:68:2D:73,3136,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343401,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,13938,129.12.44.154,FA:16:3E:68:2D:73,2910,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343399,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,26333,129.12.44.154,FA:16:3E:68:2D:73,2797,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343402,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,4941,129.12.44.154,FA:16:3E:68:2D:73,3023,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343397,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,1277,129.12.44.154,FA:16:3E:68:2D:73,2571,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343400,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,8790,129.12.44.154,FA:16:3E:68:2D:73,2684,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343395,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,1625,129.12.44.154,FA:16:3E:68:2D:73,2345,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343398,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,39805,129.12.44.154,FA:16:3E:68:2D:73,2458,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343396,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,47486,129.12.44.154,FA:16:3E:68:2D:73,2232,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343394,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,6371,129.12.44.154,FA:16:3E:68:2D:73,2119,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343393,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,10274,129.12.44.154,FA:16:3E:68:2D:73,2006,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343391,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,9503,129.12.44.154,FA:16:3E:68:2D:73,1893,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343392,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,24132,129.12.44.154,FA:16:3E:68:2D:73,1780,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343389,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,17768,129.12.44.154,FA:16:3E:68:2D:73,1554,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343390,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,19533,129.12.44.154,FA:16:3E:68:2D:73,1667,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343388,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,19120,129.12.44.154,FA:16:3E:68:2D:73,1441,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343386,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,4244,129.12.44.154,FA:16:3E:68:2D:73,1328,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343385,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,17469,129.12.44.154,FA:16:3E:68:2D:73,1102,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343387,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,3543,129.12.44.154,FA:16:3E:68:2D:73,1215,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343381,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,7470,129.12.44.154,FA:16:3E:68:2D:73,650,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343383,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,25566,129.12.44.154,FA:16:3E:68:2D:73,537,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343380,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,28529,129.12.44.154,FA:16:3E:68:2D:73,424,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343379,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,13627,129.12.44.154,FA:16:3E:68:2D:73,311,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343377,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,19382,129.12.44.154,FA:16:3E:68:2D:73,198,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352343378,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,5503,129.12.44.154,FA:16:3E:68:2D:73,85,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352331402,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,6885,129.12.44.154,FA:16:3E:68:2D:73,3584,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
"April 9, 2018 15:15:52",1523283352331404,cscloud2c9a.kent.ac.uk,Out Of Allowed Policy,,Deny,50,Incoming,,IP,TCP,SYN DF=1,129.12.21.67,F8:66:F2:43:82:46,4096,129.12.44.154,FA:16:3E:68:2D:73,3697,0,3,"April 9, 2018 15:15:54",Connection Flow,123,,0,,,Agent
